Designator,Mid X,Mid Y,Rotation,Layer
Brd1,68.87,-68.05,180.0,top
D1,103.125,-49.025,270.0,top
D10,110.375,-52.2,270.0,top
D11,131.916667,-52.2,270.0,top
D2,122.625,-49.025,270.0,top
D3,99.041666,-50.025,270.0,top
D4,118.541666,-50.025,270.0,top
D5,140.083334,-49.025,270.0,top
D6,94.958333,-51.025,270.0,top
D7,114.458333,-51.025,270.0,top
D8,136.0,-50.6125,270.0,top
D9,90.875,-52.2,270.0,top
SW1,97.0,-67.75,0.0,top
SW10,116.5,-127.0,0.0,top
SW11,136.0,-127.0,0.0,top
SW13,136.0,-67.75,0.0,top
SW14,68.87,-97.25,0.0,top
SW2,116.5,-67.75,0.0,top
SW3,97.0,-87.5,0.0,top
SW4,116.5,-87.5,0.0,top
SW5,136.0,-87.5,0.0,top
SW6,97.0,-107.25,0.0,top
SW7,116.5,-107.25,0.0,top
SW8,136.0,-107.25,0.0,top
SW9,97.0,-127.0,0.0,top
U1,68.87,-59.65475,270.0,top
